n,estimate
178, 178.000000
179, 179.000000
180, 180.000000
181, 181.000000
182, 182.000000
183, 183.000000
184, 184.000000
185, 185.000000
186, 186.000000
187, 187.000000
188, 188.000000
189, 189.000000
190, 190.000000
191, 191.000000
192, 192.000000
193, 193.000000
194, 194.000000
195, 195.000000
196, 196.000000
197, 197.000000
198, 198.000000
199, 199.000000
200, 200.000000
201, 201.000000
202, 202.000000
203, 203.000000
204, 204.000000
205, 205.000000
206, 206.000000
207, 207.000000
208, 208.000000
209, 209.000000
210, 210.000000
211, 211.000000
212, 212.000000
213, 213.000000
214, 214.000000
215, 215.000000
216, 216.000000
217, 217.000000
218, 218.000000
219, 219.000000
220, 220.000000
221, 221.000000
222, 222.000000
223, 223.000000
224, 224.000000
225, 225.000000
226, 226.000000
227, 227.000000
228, 228.000000
229, 229.000000
230, 230.000000
231, 231.000000
232, 232.000000
233, 233.000000
234, 234.000000
235, 235.000000
236, 236.000000
237, 237.000000
238, 238.000000
239, 239.000000
240, 240.000000
241, 241.000000
242, 242.000000
243, 243.000000
244, 244.000000
245, 245.000000
246, 246.000000
247, 247.000000
248, 248.000000
249, 249.000000
250, 250.000000
251, 251.000000
252, 252.000000
253, 253.000000
254, 254.000000
255, 255.000000
256, 256.000000
257, 257.000000
258, 258.000000
259, 259.000000
260, 260.000000
261, 261.000000
262, 262.000000
263, 263.000000
264, 264.000000
265, 265.000000
266, 266.000000
267, 267.000000
268, 268.000000
269, 269.000000
270, 270.000000
271, 271.000000
272, 272.000000
273, 273.000000
274, 274.000000
275, 275.000000
276, 276.000000
277, 277.000000
278, 278.000000
279, 279.000000
280, 280.000000
281, 281.000000
282, 282.000000
283, 283.000000
284, 284.000000
285, 285.000000
286, 286.000000
287, 287.000000
288, 288.000000
289, 289.000000
290, 290.000000
291, 291.000000
292, 292.000000
293, 293.000000
294, 294.000000
295, 295.000000
296, 296.000000
297, 297.000000
298, 298.000000
299, 299.000000
300, 300.000000
301, 301.000000
302, 302.000000
303, 303.000000
304, 304.000000
305, 305.000000
306, 306.000000
307, 307.000000
308, 308.000000
309, 309.000000
310, 310.000000
311, 311.000000
312, 312.000000
313, 313.000000
314, 314.000000
315, 315.000000
316, 316.000000
317, 317.000000
318, 318.000000
319, 319.000000
320, 320.000000
321, 321.000000
322, 322.000000
323, 323.000000
324, 324.000000
325, 325.000000
326, 326.000000
327, 327.000000
328, 328.000000
329, 329.000000
330, 330.000000
331, 331.000000
332, 332.000000
333, 333.000000
334, 334.000000
335, 335.000000
336, 336.000000
337, 337.000000
338, 338.000000
339, 339.000000
340, 340.000000
341, 341.000000
342, 342.000000
343, 343.000000
344, 344.000000
345, 345.000000
346, 346.000000
347, 347.000000
348, 348.000000
349, 349.000000
350, 350.000000
351, 351.000000
352, 352.000000
353, 353.000000
354, 354.000000
355, 355.000000
356, 356.000000
357, 357.000000
358, 358.000000
359, 359.000000
360, 360.000000
361, 361.000000
362, 362.000000
363, 363.000000
364, 364.000000
365, 365.000000
366, 366.000000
367, 367.000000
368, 368.000000
369, 369.000000
370, 370.000000
371, 371.000000
372, 372.000000
373, 373.000000
374, 374.000000
375, 375.000000
376, 376.000000
377, 377.000000
378, 378.000000
379, 379.000000
380, 380.000000
381, 381.000000
382, 382.000000
383, 383.000000
384, 384.000000
385, 385.000000
386, 386.000000
387, 387.000000
388, 388.000000
389, 389.000000
390, 390.000000
391, 391.000000
392, 392.000000
393, 393.000000
394, 394.000000
395, 395.000000
396, 396.000000
397, 397.000000
398, 398.000000
399, 399.000000
400, 400.000000
401, 401.650358
402, 402.200428
403, 401.835215
404, 405.455248
405, 405.711070
406, 404.094685
407, 409.167827
408, 406.608237
409, 407.336853
410, 412.480359
411, 411.714929
412, 411.954023
413, 412.813882
414, 415.586579
415, 410.880833
416, 420.732767
417, 422.043488
418, 417.085789
419, 417.126928
420, 416.332837
421, 425.485717
422, 414.620854
423, 425.034163
424, 430.567241
425, 422.265318
426, 429.330904
427, 421.562355
428, 422.922205
429, 425.063525
430, 430.094278
431, 433.456352
432, 432.127373
433, 431.435687
434, 425.955241
435, 434.302098
436, 439.230679
437, 446.340500
438, 442.601803
439, 443.844913
440, 447.255973
441, 433.994655
442, 439.899299
443, 447.564741
444, 450.158522
445, 444.340708
446, 442.325822
447, 445.154625
448, 430.255421
449, 449.313071
450, 444.042488
451, 455.985091
452, 446.202802
453, 448.564272
454, 441.437124
455, 452.684219
456, 446.352202
457, 439.224917
458, 467.212464
459, 444.826772
460, 455.082212
461, 474.873961
462, 457.952460
463, 464.121414
464, 460.882317
465, 467.209127
466, 481.066322
467, 481.950623
468, 469.876916
469, 461.939380
470, 479.158956
471, 484.547736
472, 457.368180
473, 489.839995
474, 466.438080
475, 481.630197
476, 477.838607
477, 472.710285
478, 471.814432
479, 470.511051
480, 492.767166
481, 465.122949
482, 489.983168
483, 497.240399
484, 490.205779
485, 479.751120
486, 498.416133
487, 490.725353
488, 504.436741
489, 475.772733
490, 504.167490
491, 490.832670
492, 487.597920
493, 488.911465
494, 497.154401
495, 505.192473
496, 494.887450
497, 494.555910
498, 481.878833
499, 529.775936
500, 502.681841
501, 498.910438
502, 508.576476
503, 510.157180
504, 503.549157
505, 503.628293
506, 520.508826
507, 507.889283
508, 514.613715
509, 510.319852
510, 529.959874
511, 532.025098
512, 507.070835
513, 511.397870
514, 508.638782
515, 502.273874
516, 515.693547
517, 513.224869
518, 534.527815
519, 525.402772
520, 528.676463
521, 525.509529
522, 511.624872
523, 520.820364
524, 524.400221
525, 536.064081
526, 532.242106
527, 527.404967
528, 533.872647
529, 538.991858
530, 536.483486
531, 527.826132
532, 536.770172
533, 535.053967
534, 528.911609
535, 515.040137
536, 541.637100
537, 549.209364
538, 541.843632
539, 539.375573
540, 535.774450
541, 554.833400
542, 559.834360
543, 534.868659
544, 534.953740
545, 530.381607
546, 555.870598
547, 540.944522
548, 530.615733
549, 560.690136
550, 553.632344
551, 563.815597
552, 545.694716
553, 545.865579
554, 568.095271
555, 549.404879
556, 550.476184
557, 553.319069
558, 571.705382
559, 578.955026
560, 565.280882
561, 573.315420
562, 533.391592
563, 575.707528
564, 558.479121
565, 554.789973
566, 591.482176
567, 551.992484
568, 563.764200
569, 551.809877
570, 588.709494
571, 588.375257
572, 579.340385
573, 597.712308
574, 553.090015
575, 565.396518
576, 567.801816
577, 561.372286
578, 577.410335
579, 604.602514
580, 602.531727
581, 558.496282
582, 589.340886
583, 608.424772
584, 596.448269
585, 549.492967
586, 562.284626
587, 563.048159
588, 610.394572
589, 595.010075
590, 605.203201
591, 593.202444
592, 578.913115
593, 594.420803
594, 610.551639
595, 601.903159
596, 606.646870
597, 613.290392
598, 592.889100
599, 588.101414
600, 598.700993
601, 614.709447
602, 614.636572
603, 605.478269
604, 599.394761
605, 576.533363
606, 573.465744
607, 608.198759
608, 583.664282
609, 641.768832
610, 619.754531
611, 640.107179
612, 577.148990
613, 651.763066
614, 591.397649
615, 597.689208
616, 609.415526
617, 606.883606
618, 623.149504
619, 625.754343
620, 623.159389
621, 617.637773
622, 635.465315
623, 665.162767
624, 654.480092
625, 626.810060
626, 620.284134
627, 646.673021
628, 597.500765
629, 623.841929
630, 609.103947
631, 610.484067
632, 624.596816
633, 643.246386
634, 659.943219
635, 666.157741
636, 659.880560
637, 625.547137
638, 637.758759
639, 623.540710
640, 604.924031
641, 674.257040
642, 618.355156
643, 691.983734
644, 708.146364
645, 648.652394
646, 635.332109
647, 697.608432
648, 661.718497
649, 635.264413
650, 634.107998
651, 654.303693
652, 692.188673
653, 684.524222
654, 647.284055
655, 696.940251
656, 647.955061
657, 630.227737
658, 637.616502
659, 693.470103
660, 688.703795
661, 654.805978
662, 649.899702
663, 629.625403
664, 620.415714
665, 640.207608
666, 683.560266
667, 673.691346
668, 682.638054
669, 676.449969
670, 666.259793
671, 649.014758
672, 666.451752
673, 645.730438
674, 678.774110
675, 670.489737
676, 654.513200
677, 646.864353
678, 659.631838
679, 682.378221
680, 669.428276
681, 676.468545
682, 702.487319
683, 693.802343
684, 718.154174
685, 686.447721
686, 692.246178
687, 689.474678
688, 745.098682
689, 711.234428
690, 706.814943
691, 685.251572
692, 659.607873
693, 745.688508
694, 718.855447
695, 695.317170
696, 731.869329
697, 700.946389
698, 683.172156
699, 681.119227
700, 695.572897
701, 699.504347
702, 700.068922
703, 706.405085
704, 729.792749
705, 705.269065
706, 703.638908
707, 710.132842
708, 685.571549
709, 699.501535
710, 724.201569
711, 685.070535
712, 692.342295
713, 691.852199
714, 687.613728
715, 688.158103
716, 627.575450
717, 722.373655
718, 754.548351
719, 743.651569
720, 677.516652
721, 724.844748
722, 668.450142
723, 707.820257
724, 712.195516
725, 683.872397
726, 750.719401
727, 755.894456
728, 717.594121
729, 708.628736
730, 784.529520
731, 704.074989
732, 712.135850
733, 678.090216
734, 756.551772
735, 728.361220
736, 752.384479
737, 777.136798
738, 757.190231
739, 753.494839
740, 724.402070
741, 708.777819
742, 731.298995
743, 742.052522
744, 736.727839
745, 737.455085
746, 752.000313
747, 736.717871
748, 720.011038
749, 719.595098
750, 750.538978
751, 741.776308
752, 743.546810
753, 742.361599
754, 770.139030
755, 785.688835
756, 750.973626
757, 726.621497
758, 776.819486
759, 722.135833
760, 796.490570
761, 786.055676
762, 776.969126
763, 774.671960
764, 725.400313
765, 734.897376
766, 802.385141
767, 776.793699
768, 792.828228
769, 748.046770
770, 783.030993
771, 758.278585
772, 779.271750
773, 769.502219
774, 730.005913
775, 782.044477
776, 761.707082
777, 764.570653
778, 771.065990
779, 768.892031
780, 753.229192
781, 803.632337
782, 812.402892
783, 773.216178
784, 780.777244
785, 770.472064
786, 757.485686
787, 768.068321
788, 747.337284
789, 856.586543
790, 796.288619
791, 750.130372
792, 781.866983
793, 823.540324
794, 825.854958
795, 761.210510
796, 793.698952
797, 760.085505
798, 782.681110
799, 768.188364
800, 790.569973
801, 780.903186
802, 781.487409
803, 804.405818
804, 789.287861
805, 803.571167
806, 823.193962
807, 817.164011
808, 868.597472
809, 811.075749
810, 813.757649
811, 832.478545
812, 849.983886
813, 786.247362
814, 789.576449
815, 819.111053
816, 792.538638
817, 821.532569
818, 789.614639
819, 843.362417
820, 795.288258
821, 812.540697
822, 783.454767
823, 876.061566
824, 823.728697
825, 803.066433
826, 843.809238
827, 823.578953
828, 798.001974
829, 784.393311
830, 791.598014
831, 875.744620
832, 840.370146
833, 845.421632
834, 800.672994
835, 767.198177
836, 808.842298
837, 870.774445
838, 835.502010
839, 861.161262
840, 782.796536
841, 818.903415
842, 882.117236
843, 838.540576
844, 816.006547
845, 870.764906
846, 863.319774
847, 833.696400
848, 790.144145
849, 819.771382
850, 818.699906
851, 828.105344
852, 837.940492
853, 812.052771
854, 860.788420
855, 819.887391
856, 840.498077
857, 867.157976
858, 865.048841
859, 879.703171
860, 900.844625
861, 853.910650
862, 901.309039
863, 867.727556
864, 886.507715
865, 868.479833
866, 865.110453
867, 908.204629
868, 899.565241
869, 884.066998
870, 869.551071
871, 844.035624
872, 884.936075
873, 885.631838
874, 855.610761
875, 885.498633
876, 894.950736
877, 837.077891
878, 917.232725
879, 831.470429
880, 917.474327
881, 846.157999
882, 888.498807
883, 925.759771
884, 891.563190
885, 881.340587
886, 848.861168
887, 820.387690
888, 872.513456
889, 888.338053
890, 936.529955
891, 902.762225
892, 999.747272
893, 851.761027
894, 909.751717
895, 956.812706
896, 882.504718
897, 913.797563
898, 868.223952
899, 890.856529
900, 912.839401
901, 883.646822
902, 941.503244
903, 872.774453
904, 964.320334
905, 979.926740
906, 960.758908
907, 858.977731
908, 911.981462
909, 970.260478
910, 978.312325
911, 970.174527
912, 917.019731
913, 891.997772
914, 945.276539
915, 950.111885
916, 905.659953
917, 904.514947
918, 956.627023
919, 897.680404
920, 871.177312
921, 952.051494
922, 895.905923
923, 903.786169
924, 861.431921
925, 926.643580
926, 943.639679
927, 897.805486
928, 856.960035
929, 911.124961
930, 918.769192
931, 947.794388
932, 919.945056
933, 916.037518
934, 937.114605
935, 926.895712
936, 935.316089
937, 898.433546
938, 925.156152
939, 924.540945
940, 918.590656
941, 924.150414
942, 931.826343
943, 936.506669
944, 923.228250
945, 911.122102
946, 970.116269
947, 949.786172
948, 978.131274
949, 919.307607
950, 983.482852
951, 929.321381
952, 932.483255
953, 933.048611
954, 874.389531
955, 982.638492
956, 992.685378
957, 981.079728
958, 974.261750
959, 974.090439
960, 939.758178
961, 962.551245
962, 935.002721
963, 982.271454
964, 947.218896
965, 960.828109
966, 982.518029
967, 966.085732
968, 980.243915
969, 872.152821
970, 968.399619
971, 953.616449
972, 978.192560
973, 919.095254
974, 963.715124
975, 955.013644
976, 948.571325
977, 896.175480
978, 1007.382245
979, 989.969673
980, 931.117334
981, 946.968264
982, 962.538934
983, 969.333837
984, 980.163363
985, 993.611011
986, 1003.436309
987, 1004.222758
988, 945.417054
989, 991.174464
990, 921.834835
991, 936.942717
992, 954.847817
993, 1036.534321
994, 949.483224
995, 985.947412
996, 942.554687
997, 980.506251
998, 1033.655807
999, 931.162915
1000, 1039.745716
1001, 1055.802734
1002, 1020.715751
1003, 1026.916271
1004, 954.350309
1005, 997.599327
1006, 974.849595
1007, 1019.063311
1008, 1016.051569
1009, 1077.512598
1010, 1055.821926
1011, 980.649069
1012, 976.288915
1013, 1051.524876
1014, 1027.828235
1015, 1036.350706
1016, 1057.222865
1017, 958.051942
1018, 1022.421843
1019, 1154.428337
1020, 1011.915653
1021, 992.538489
1022, 1050.658577
1023, 1036.462215
1024, 1016.480552
1025, 1127.227608
1026, 1008.250623
1027, 1071.486642
1028, 1018.127472
1029, 1014.454407
1030, 1018.926121
1031, 1051.027689
1032, 1007.797259
1033, 1040.816057
1034, 1028.219799
1035, 1023.909091
1036, 1095.172439
1037, 957.195259
1038, 1022.039803
1039, 1006.552412
1040, 1005.108796
1041, 1027.012953
1042, 1045.254566
1043, 1044.462332
1044, 1002.304883
1045, 1062.677385
1046, 1000.748909
1047, 1075.400780
1048, 1071.273156
1049, 1047.511606
1050, 1062.492337
1051, 1104.790959
1052, 1020.920973
1053, 1089.781588
1054, 1127.756970
1055, 1100.732906
1056, 1053.094966
1057, 1074.781905
1058, 1072.429083
1059, 1020.154550
1060, 1045.784843
1061, 982.234161
1062, 1074.148325
1063, 1030.320709
1064, 1099.410407
1065, 1114.849496
1066, 1103.966722
1067, 1079.972299
1068, 1140.952363
1069, 1168.815517
1070, 1043.034888
1071, 1114.533981
1072, 1119.813414
1073, 1014.445251
1074, 1043.556936
1075, 1017.916638
1076, 1059.550356
1077, 1109.621309
1078, 1128.042712
1079, 1095.442721
1080, 1100.043748
1081, 1110.278238
1082, 1005.457749
1083, 1079.354590
1084, 1072.867391
1085, 1044.755579
1086, 1033.515488
1087, 1048.284756
1088, 1074.966317
1089, 1096.242608
1090, 1083.711375
1091, 1084.201153
1092, 1052.926708
1093, 1054.454228
1094, 1066.291466
1095, 1094.495396
1096, 1053.017039
1097, 1148.323809
1098, 1069.341142
1099, 1001.189761
1100, 1152.700414
1101, 1095.402753
1102, 1113.447259
1103, 1070.138438
1104, 1087.148298
1105, 1032.941250
1106, 1071.314903
1107, 1082.623399
1108, 1100.161092
1109, 1067.822439
1110, 1123.385936
1111, 1171.227161
1112, 1141.463883
1113, 1070.015921
1114, 1146.272658
1115, 1085.726452
1116, 1095.331187
1117, 1060.231944
1118, 1185.155846
1119, 1126.653224
1120, 1114.298850
1121, 1168.140279
1122, 1102.320427
1123, 1103.059263
1124, 1151.640032
1125, 1130.867103
1126, 1134.648555
1127, 1110.467965
1128, 1099.570605
1129, 1111.229823
1130, 1128.104229
1131, 1119.072332
1132, 1145.012025
1133, 1122.023274
1134, 1219.431737
1135, 1184.537043
1136, 1148.447806
1137, 1176.571625
1138, 1133.621294
1139, 1138.156791
1140, 1165.357728
1141, 1073.030016
1142, 1178.552138
1143, 1102.092939
1144, 1202.564107
1145, 1104.691551
1146, 1121.656156
1147, 1108.850844
1148, 1179.498355
1149, 1204.495633
1150, 1109.348094
1151, 1136.912564
1152, 1127.745880
1153, 1092.004256
1154, 1205.113628
1155, 1092.595218
1156, 1153.175571
1157, 1098.456632
1158, 1153.921883
1159, 1078.679433
1160, 1207.316069
1161, 1066.388137
1162, 1168.268488
1163, 1131.072767
1164, 1213.320394
1165, 1202.974085
1166, 1269.017630
1167, 1182.409964
1168, 1206.750087
1169, 1104.779442
1170, 1159.292126
1171, 1168.532175
1172, 1242.874568
1173, 1204.129102
1174, 1167.942406
1175, 1128.647735
1176, 1179.963877
1177, 1142.143965
1178, 1297.362639
1179, 1158.544006
1180, 1161.239958
1181, 1178.554286
1182, 1161.229179
1183, 1226.781802
1184, 1146.835580
1185, 1154.711300
1186, 1153.713430
1187, 1159.129591
1188, 1264.344438
1189, 1095.551462
1190, 1204.460198
1191, 1222.797163
1192, 1190.813344
1193, 1134.232438
1194, 1169.388643
1195, 1147.165841
1196, 1209.357279
1197, 1133.784443
1198, 1109.479513
1199, 1220.242599
1200, 1178.950098
1201, 1238.172833
1202, 1138.256943
1203, 1157.616755
1204, 1234.811510
1205, 1180.759338
1206, 1191.197091
1207, 1291.046345
1208, 1239.262118
1209, 1229.500722
1210, 1228.785738
1211, 1235.741585
1212, 1156.920018
1213, 1287.736285
1214, 1171.496351
1215, 1188.269693
1216, 1230.089024
1217, 1240.035059
1218, 1206.610658
1219, 1279.574431
1220, 1242.891127
1221, 1182.518354
1222, 1241.598187
1223, 1252.797261
1224, 1251.468982
1225, 1182.777061
1226, 1282.342219
1227, 1240.408021
1228, 1239.963264
1229, 1180.722174
1230, 1257.686911
1231, 1189.629531
1232, 1308.045440
1233, 1137.737422
1234, 1275.795108
1235, 1316.414406
1236, 1251.117206
1237, 1242.181215
1238, 1140.584772
1239, 1213.757092
1240, 1301.335416
1241, 1288.909977
1242, 1329.917634
1243, 1242.283480
1244, 1258.721499
1245, 1318.473292
1246, 1205.680099
1247, 1264.873021
1248, 1276.983210
1249, 1189.715529
1250, 1242.597031
1251, 1216.506450
1252, 1149.270922
1253, 1211.964804
1254, 1282.853325
1255, 1262.715019
1256, 1229.745358
1257, 1185.559410
1258, 1287.938629
1259, 1332.431426
1260, 1243.013522
1261, 1233.194691
1262, 1251.069057
1263, 1329.554408
1264, 1221.979602
1265, 1281.113362
1266, 1234.440835
1267, 1290.518462
1268, 1237.539083
1269, 1289.164508
1270, 1390.316469
1271, 1179.932248
1272, 1307.488914
1273, 1312.575818
1274, 1308.668798
1275, 1388.785959
1276, 1285.968690
1277, 1258.438687
1278, 1255.370485
1279, 1280.451516
1280, 1307.764340
1281, 1311.127284
1282, 1337.530998
1283, 1302.894633
1284, 1243.738531
1285, 1296.343819
1286, 1317.115831
1287, 1216.278176
1288, 1280.259819
1289, 1377.785031
1290, 1402.797329
1291, 1439.539849
1292, 1367.944175
1293, 1340.416702
1294, 1352.360821
1295, 1291.807458
1296, 1166.595849
1297, 1368.502917
1298, 1292.655915
1299, 1332.314713
1300, 1308.341726
1301, 1328.986897
1302, 1300.249182
1303, 1237.427561
1304, 1264.623762
1305, 1355.318759
1306, 1351.400561
1307, 1301.819018
1308, 1223.726023
1309, 1245.607013
1310, 1326.887201
1311, 1407.528446
1312, 1260.564113
1313, 1239.189367
1314, 1286.612672
1315, 1383.823801
1316, 1256.623947
1317, 1294.022819
1318, 1305.407430
1319, 1285.522366
1320, 1377.055022
1321, 1283.111368
1322, 1384.186416
1323, 1351.706836
1324, 1286.590388
1325, 1272.252595
1326, 1360.102473
1327, 1274.782426
1328, 1391.300604
1329, 1289.871266
1330, 1286.221452
1331, 1404.869410
1332, 1308.699954
1333, 1411.967144
1334, 1326.093528
1335, 1352.442690
1336, 1352.829765
1337, 1401.220153
1338, 1311.295610
1339, 1275.484635
1340, 1433.654351
1341, 1332.749977
1342, 1331.259165
1343, 1377.052552
1344, 1374.572440
1345, 1356.931022
1346, 1350.004727
1347, 1313.159988
1348, 1205.235177
1349, 1505.797024
1350, 1366.552424
1351, 1356.473159
1352, 1327.821431
1353, 1338.066617
1354, 1294.541856
1355, 1253.470518
1356, 1274.554677
1357, 1326.998653
1358, 1365.666103
1359, 1347.838475
1360, 1372.287116
1361, 1371.784387
1362, 1401.961779
1363, 1361.953809
1364, 1236.404069
1365, 1307.721407
1366, 1283.416766
1367, 1411.926860
1368, 1337.478308
1369, 1408.175190
1370, 1405.380840
1371, 1381.663800
1372, 1476.286066
1373, 1314.215599
1374, 1375.512583
1375, 1452.296238
1376, 1371.927653
1377, 1313.726156
1378, 1373.414508
1379, 1432.102801
1380, 1313.092370
1381, 1424.544725
1382, 1324.388071
1383, 1356.058164
1384, 1323.711798
1385, 1355.186334
1386, 1314.042743
1387, 1381.414332
1388, 1411.218745
1389, 1497.625691
1390, 1466.894514
1391, 1364.184034
1392, 1335.193440
1393, 1384.653519
1394, 1450.293942
1395, 1370.120983
1396, 1365.936055
1397, 1426.070197
1398, 1345.203585
1399, 1343.256914
1400, 1307.713795
1401, 1426.831285
1402, 1302.025483
1403, 1372.006027
1404, 1381.222726
1405, 1354.062728
1406, 1444.760615
1407, 1435.594580
1408, 1437.311018
1409, 1522.490407
1410, 1341.171000
1411, 1412.544156
1412, 1444.522989
1413, 1448.766106
1414, 1424.599224
1415, 1447.675752
1416, 1424.985281
1417, 1349.419570
1418, 1546.358346
1419, 1436.832110
1420, 1443.944295
1421, 1365.649977
1422, 1482.458980
1423, 1428.214829
1424, 1434.197793
1425, 1412.867032
1426, 1417.209630
1427, 1406.844643
1428, 1498.395788
1429, 1452.380465
1430, 1554.055466
1431, 1444.819597
1432, 1278.076770
1433, 1362.827801
1434, 1360.445628
1435, 1467.528050
1436, 1318.607781
1437, 1449.856804
1438, 1474.891150
1439, 1417.103080
1440, 1445.199818
1441, 1499.500401
1442, 1489.741928
1443, 1398.178106
1444, 1409.116382
1445, 1525.985721
1446, 1411.147735
1447, 1551.076860
1448, 1450.541367
1449, 1489.574480
1450, 1502.072418
1451, 1410.131742
1452, 1397.712420
1453, 1402.236173
1454, 1467.638039
1455, 1343.974456
1456, 1488.326126
1457, 1408.031460
1458, 1459.702652
1459, 1434.787298
1460, 1300.904688
1461, 1451.627110
1462, 1500.068463
1463, 1467.265436
1464, 1469.566134
1465, 1473.365291
1466, 1442.539650
1467, 1470.076651
1468, 1412.417701
1469, 1417.807413
1470, 1499.562916
1471, 1427.287190
1472, 1524.766249
1473, 1560.982201
1474, 1498.727331
1475, 1495.297753
1476, 1440.097164
1477, 1438.685185
1478, 1426.238660
1479, 1454.252489
1480, 1468.100754
1481, 1434.869301
1482, 1464.802585
1483, 1469.333867
1484, 1570.182418
1485, 1522.080851
1486, 1510.537888
1487, 1454.263334
1488, 1538.263838
1489, 1459.972023
1490, 1506.204711
1491, 1388.720837
1492, 1416.634633
1493, 1364.440099
1494, 1412.107855
1495, 1496.234979
1496, 1527.267922
1497, 1400.572637
1498, 1540.363322
1499, 1448.370581
1500, 1535.697260
1501, 1626.196929
1502, 1354.043849
1503, 1495.000677
1504, 1508.716687
1505, 1465.755655
1506, 1508.501269
1507, 1539.414651
1508, 1462.479750
1509, 1537.372773
1510, 1566.605208
1511, 1514.884699
1512, 1531.529810
1513, 1524.810065
1514, 1546.286030
1515, 1655.037232
1516, 1588.726095
1517, 1445.910937
1518, 1470.661015
1519, 1486.585133
1520, 1466.423329
1521, 1526.818771
1522, 1554.778819
1523, 1567.066193
1524, 1523.256825
1525, 1529.264477
1526, 1521.256729
1527, 1583.210498
1528, 1651.245113
1529, 1478.817639
1530, 1564.376517
1531, 1534.880909
1532, 1399.462156
1533, 1582.660909
1534, 1446.504155
1535, 1570.146518
1536, 1574.804372
1537, 1595.528596
1538, 1563.131428
1539, 1508.100757
1540, 1445.621970
1541, 1569.421222
1542, 1593.014237
1543, 1475.686482
1544, 1468.747791
1545, 1449.017792
1546, 1729.835547
1547, 1542.361177
1548, 1435.826068
1549, 1510.759359
1550, 1599.380643
1551, 1630.406557
1552, 1543.635416
1553, 1421.461534
1554, 1596.936341
1555, 1488.190245
1556, 1528.364503
1557, 1467.120713
1558, 1578.762109
1559, 1501.635515
1560, 1504.305031
1561, 1621.553178
1562, 1611.206747
1563, 1476.063636
1564, 1615.679942
1565, 1582.591519
1566, 1548.858078
1567, 1562.269951
1568, 1448.008278
1569, 1487.841740
1570, 1662.664268
1571, 1571.375077
1572, 1543.064559
1573, 1524.228704
1574, 1471.694622
1575, 1607.987406
1576, 1572.825811
1577, 1600.729901
1578, 1740.261398
1579, 1598.904728
1580, 1706.985205
1581, 1524.763625
1582, 1488.105073
1583, 1592.845866
1584, 1665.292185
1585, 1738.124396
1586, 1501.653379
1587, 1607.333753
1588, 1760.132125
1589, 1544.569782
1590, 1532.201716
1591, 1557.297145
1592, 1515.421132
1593, 1608.510149
1594, 1471.360546
1595, 1524.184604
1596, 1661.537611
1597, 1619.599264
1598, 1560.341225
